SNP,freq_alt,MAF
174,0.759372,0.240628
175,0.727122,0.272878
176,0.686604,0.313396
177,0.683297,0.316703
178,0.662348,0.337652
179,0.703142,0.296858
180,0.703142,0.296858
181,0.703418,0.296582
182,0.747795,0.252205
183,0.662348,0.337652
184,0.662348,0.337652
185,0.085447,0.085447
186,0.65849,0.34151
187,0.723539,0.276461
188,0.722437,0.277563
189,0.652977,0.347023
190,0.382029,0.382029
191,0.382029,0.382029
192,0.641676,0.358324
193,0.820011,0.179989
194,0.179162,0.179162
195,0.895259,0.104741
196,0.498622,0.498622
197,0.583241,0.416759
198,0.397189,0.397189
199,0.309537,0.309537
200,0.095094,0.095094
201,0.10419,0.10419
202,0.214719,0.214719
203,0.264333,0.264333
204,0.263506,0.263506
205,0.896086,0.103914
206,0.270948,0.270948
207,0.896086,0.103914
208,0.896362,0.103638
209,0.896362,0.103638
210,0.63699,0.36301
211,0.850606,0.149394
212,0.29355,0.29355
213,0.920342,0.079658
214,0.259096,0.259096
215,0.259096,0.259096
216,0.259372,0.259372
217,0.713341,0.286659
218,0.713341,0.286659
219,0.286384,0.286384
220,0.286384,0.286384
221,0.286384,0.286384
222,0.713065,0.286935
223,0.713616,0.286384
224,0.713616,0.286384
225,0.286108,0.286108
226,0.286108,0.286108
227,0.713892,0.286108
228,0.714443,0.285557
229,0.285832,0.285832
230,0.310088,0.310088
231,0.633958,0.366042
232,0.366042,0.366042
233,0.633958,0.366042
234,0.633407,0.366593
235,0.366593,0.366593
236,0.366318,0.366318
237,0.278942,0.278942
238,0.287211,0.287211
239,0.277563,0.277563
240,0.277288,0.277288
241,0.277288,0.277288
242,0.277288,0.277288
243,0.277563,0.277563
244,0.378445,0.378445
245,0.278115,0.278115
246,0.278115,0.278115
247,0.278115,0.278115
248,0.277288,0.277288
249,0.277839,0.277839
250,0.37624,0.37624
251,0.303473,0.303473
252,0.303473,0.303473
253,0.430265,0.430265
254,0.294928,0.294928
255,0.294377,0.294377
256,0.26957,0.26957
257,0.278115,0.278115
258,0.277563,0.277563
259,0.601158,0.398842
260,0.149669,0.149669
261,0.271499,0.271499
262,0.47602,0.47602
263,0.475744,0.475744
264,0.414553,0.414553
265,0.14774,0.14774
266,0.3586,0.3586
267,0.340959,0.340959
268,0.340959,0.340959
269,0.132856,0.132856
270,0.132856,0.132856
271,0.318908,0.318908
272,0.31946,0.31946
273,0.319184,0.319184
274,0.146637,0.146637
275,0.517089,0.482911
276,0.459206,0.459206
277,0.460033,0.460033
278,0.472437,0.472437
279,0.481808,0.481808
280,0.139471,0.139471
281,0.482635,0.482635
282,0.482359,0.482359
283,0.236218,0.236218
284,0.236218,0.236218
285,0.236218,0.236218
286,0.235943,0.235943
287,0.146637,0.146637
288,0.236218,0.236218
289,0.23677,0.23677
290,0.076351,0.076351
291,0.465546,0.465546
292,0.424201,0.424201
293,0.423925,0.423925
294,0.423925,0.423925
295,0.152426,0.152426
296,0.515436,0.484564
297,0.514609,0.485391
298,0.486218,0.486218
299,0.514333,0.485667
300,0.152977,0.152977
301,0.153252,0.153252
302,0.418137,0.418137
303,0.571389,0.428611
304,0.846472,0.153528
305,0.540518,0.459482
306,0.540794,0.459206
307,0.458931,0.458931
308,0.459206,0.459206
309,0.429713,0.429713
310,0.310639,0.310639
311,0.570838,0.429162
312,0.310915,0.310915
313,0.570562,0.429438
314,0.41538,0.41538
315,0.415656,0.415656
316,0.584344,0.415656
317,0.415656,0.415656
318,0.611356,0.388644
319,0.3586,0.3586
320,0.36935,0.36935
321,0.681918,0.318082
322,0.681918,0.318082
323,0.681918,0.318082
324,0.358324,0.358324
325,0.71086,0.28914
326,0.697078,0.302922
327,0.070011,0.070011
328,0.729327,0.270673
329,0.729327,0.270673
330,0.751103,0.248897
331,0.075248,0.075248
332,0.101433,0.101433
333,0.074697,0.074697
334,0.747519,0.252481
335,0.673649,0.326351
336,0.168964,0.168964
337,0.673649,0.326351
338,0.088754,0.088754
339,0.425028,0.425028
340,0.750276,0.249724
341,0.661246,0.338754
342,0.413451,0.413451
343,0.190739,0.190739
344,0.609151,0.390849
345,0.146086,0.146086
346,0.146086,0.146086
347,0.146086,0.146086
348,0.617144,0.382856
349,0.733738,0.266262
350,0.394708,0.394708
351,0.732911,0.267089
352,0.734013,0.265987
353,0.732911,0.267089
354,0.485391,0.485391
355,0.732635,0.267365
356,0.484289,0.484289
357,0.200937,0.200937
358,0.708931,0.291069
359,0.483462,0.483462
360,0.200662,0.200662
361,0.200937,0.200937
362,0.201213,0.201213
363,0.12817,0.12817
364,0.280595,0.280595
365,0.553473,0.446527
366,0.552922,0.447078
367,0.553473,0.446527
368,0.552922,0.447078
369,0.5543,0.4457
370,0.202867,0.202867
371,0.203418,0.203418
372,0.203418,0.203418
373,0.113837,0.113837
374,0.282249,0.282249
375,0.113286,0.113286
376,0.11301,0.11301
377,0.113286,0.113286
378,0.113286,0.113286
379,0.281147,0.281147
380,0.563671,0.436329
381,0.564498,0.435502
382,0.464994,0.464994
383,0.466373,0.466373
384,0.46086,0.46086
385,0.461136,0.461136
386,0.100055,0.100055
387,0.100055,0.100055
388,0.100331,0.100331
389,0.099779,0.099779
390,0.099779,0.099779
391,0.099779,0.099779
392,0.099779,0.099779
393,0.433297,0.433297
394,0.413451,0.413451
395,0.413451,0.413451
396,0.313396,0.313396
397,0.313671,0.313671
398,0.313947,0.313947
399,0.313671,0.313671
400,0.309537,0.309537
401,0.097299,0.097299
402,0.09785,0.09785
403,0.552922,0.447078
404,0.194046,0.194046
405,0.358324,0.358324
406,0.217475,0.217475
407,0.3371,0.3371
408,0.172547,0.172547
409,0.422822,0.422822
410,0.333241,0.333241
411,0.172822,0.172822
412,0.423649,0.423649
413,0.596472,0.403528
414,0.315601,0.315601
415,0.092613,0.092613
416,0.136163,0.136163
417,0.243109,0.243109
418,0.225193,0.225193
419,0.620728,0.379272
420,0.225469,0.225469
421,0.225469,0.225469
422,0.225469,0.225469
423,0.177508,0.177508
424,0.103363,0.103363
425,0.103087,0.103087
426,0.161246,0.161246
427,0.125689,0.125689
428,0.125965,0.125965
429,0.287211,0.287211
430,0.287211,0.287211
431,0.125689,0.125689
432,0.161246,0.161246
433,0.161797,0.161797
434,0.161246,0.161246
435,0.287211,0.287211
436,0.162348,0.162348
437,0.288037,0.288037
438,0.126516,0.126516
439,0.384234,0.384234
440,0.616042,0.383958
441,0.162348,0.162348
442,0.383958,0.383958
443,0.162073,0.162073
444,0.162073,0.162073
445,0.162348,0.162348
446,0.162073,0.162073
447,0.608875,0.391125
448,0.161797,0.161797
449,0.161246,0.161246
450,0.161797,0.161797
451,0.162624,0.162624
452,0.161797,0.161797
453,0.161521,0.161521
454,0.56946,0.43054
455,0.726295,0.273705
456,0.569735,0.430265
457,0.476295,0.476295
458,0.238423,0.238423
459,0.151874,0.151874
460,0.390022,0.390022
461,0.761025,0.238975
462,0.608875,0.391125
463,0.761025,0.238975
464,0.390849,0.390849
465,0.609151,0.390849
466,0.6086,0.3914
467,0.151874,0.151874
468,0.610805,0.389195
469,0.152977,0.152977
470,0.151599,0.151599
471,0.609978,0.390022
472,0.151874,0.151874
473,0.152426,0.152426
474,0.151874,0.151874
475,0.152426,0.152426
476,0.390298,0.390298
477,0.237596,0.237596
478,0.389471,0.389471
479,0.390022,0.390022
480,0.609427,0.390573
481,0.609427,0.390573
482,0.339305,0.339305
483,0.66097,0.33903
484,0.423098,0.423098
485,0.338754,0.338754
486,0.762128,0.237872
487,0.422547,0.422547
488,0.423374,0.423374
489,0.338754,0.338754
490,0.848401,0.151599
491,0.415105,0.415105
492,0.416483,0.416483
493,0.151323,0.151323
494,0.513506,0.486494
495,0.904631,0.095369
496,0.372106,0.372106
497,0.37183,0.37183
498,0.904631,0.095369
499,0.531698,0.468302
500,0.904079,0.095921
501,0.531974,0.468026
502,0.468026,0.468026
503,0.372106,0.372106
504,0.095645,0.095645
505,0.531974,0.468026
506,0.372106,0.372106
507,0.468026,0.468026
508,0.531147,0.468853
509,0.468302,0.468302
510,0.468026,0.468026
511,0.531698,0.468302
512,0.467751,0.467751
513,0.469129,0.469129
514,0.531698,0.468302
515,0.468302,0.468302
516,0.531974,0.468026
517,0.4672,0.4672
518,0.418412,0.418412
519,0.41097,0.41097
520,0.58903,0.41097
521,0.589305,0.410695
522,0.409316,0.409316
523,0.163451,0.163451
524,0.163175,0.163175
525,0.163451,0.163451
526,0.163451,0.163451
527,0.163175,0.163175
528,0.163727,0.163727
529,0.163727,0.163727
530,0.212789,0.212789
531,0.212514,0.212514
532,0.212789,0.212789
533,0.403252,0.403252
534,0.404355,0.404355
535,0.403252,0.403252
536,0.403804,0.403804
537,0.404355,0.404355
538,0.404079,0.404079
539,0.403804,0.403804
540,0.404079,0.404079
541,0.404355,0.404355
542,0.404079,0.404079
543,0.404906,0.404906
544,0.404631,0.404631
545,0.320562,0.320562
546,0.439636,0.439636
547,0.439912,0.439912
548,0.439361,0.439361
549,0.439636,0.439636
550,0.220232,0.220232
551,0.219956,0.219956
552,0.21968,0.21968
553,0.431643,0.431643
554,0.429438,0.429438
555,0.140298,0.140298
556,0.150221,0.150221
557,0.150221,0.150221
558,0.290243,0.290243
559,0.149945,0.149945
560,0.473815,0.473815
561,0.186053,0.186053
562,0.186604,0.186604
563,0.186604,0.186604
564,0.186604,0.186604
565,0.472988,0.472988
566,0.472712,0.472712
567,0.323319,0.323319
568,0.472712,0.472712
569,0.323043,0.323043
570,0.322767,0.322767
571,0.323319,0.323319
572,0.232635,0.232635
573,0.323043,0.323043
574,0.137266,0.137266
575,0.473539,0.473539
576,0.324146,0.324146
577,0.240077,0.240077
578,0.389746,0.389746
579,0.389195,0.389195
580,0.389746,0.389746
581,0.433021,0.433021
582,0.437155,0.437155
583,0.328004,0.328004
584,0.436329,0.436329
585,0.435777,0.435777
586,0.436329,0.436329
587,0.420342,0.420342
588,0.211963,0.211963
589,0.42172,0.42172
590,0.421444,0.421444
591,0.421444,0.421444
592,0.421169,0.421169
593,0.537211,0.462789
594,0.29796,0.29796
595,0.560364,0.439636
596,0.457001,0.457001
597,0.519846,0.480154
598,0.480154,0.480154
599,0.468578,0.468578
600,0.531974,0.468026
601,0.531698,0.468302
602,0.468302,0.468302
603,0.465821,0.465821
604,0.535006,0.464994
605,0.158765,0.158765
606,0.840959,0.159041
607,0.159316,0.159316
608,0.159316,0.159316
609,0.840408,0.159592
610,0.159316,0.159316
611,0.359151,0.359151
612,0.358875,0.358875
613,0.320562,0.320562
614,0.170066,0.170066
615,0.170066,0.170066
616,0.169791,0.169791
617,0.169791,0.169791
618,0.844267,0.155733
619,0.844267,0.155733
620,0.844267,0.155733
621,0.844267,0.155733
622,0.843991,0.156009
623,0.844542,0.155458
624,0.155458,0.155458
625,0.157111,0.157111
626,0.842889,0.157111
627,0.842889,0.157111
628,0.711411,0.288589
629,0.288589,0.288589
630,0.843164,0.156836
631,0.711411,0.288589
632,0.288864,0.288864
633,0.864664,0.135336
634,0.116318,0.116318
635,0.145535,0.145535
636,0.145535,0.145535
637,0.145535,0.145535
638,0.854465,0.145535
639,0.604741,0.395259
640,0.14581,0.14581
641,0.605017,0.394983
642,0.604465,0.395535
643,0.394983,0.394983
644,0.605568,0.394432
645,0.394983,0.394983
646,0.605017,0.394983
647,0.855017,0.144983
648,0.394708,0.394708
649,0.394157,0.394157
650,0.394708,0.394708
651,0.394708,0.394708
652,0.394708,0.394708
653,0.394983,0.394983
654,0.394708,0.394708
655,0.394708,0.394708
656,0.249449,0.249449
657,0.393605,0.393605
658,0.635888,0.364112
659,0.141676,0.141676
660,0.858049,0.141951
661,0.141951,0.141951
662,0.635336,0.364664
663,0.636163,0.363837
664,0.364112,0.364112
665,0.634509,0.365491
666,0.635612,0.364388
667,0.637541,0.362459
668,0.4129,0.4129
669,0.445149,0.445149
670,0.412624,0.412624
671,0.766538,0.233462
672,0.113837,0.113837
673,0.336273,0.336273
674,0.551268,0.448732
675,0.441566,0.441566
676,0.356946,0.356946
677,0.308434,0.308434
678,0.789967,0.210033
679,0.645535,0.354465
680,0.511577,0.488423
681,0.14333,0.14333
682,0.303197,0.303197
683,0.631477,0.368523
684,0.348401,0.348401
685,0.651323,0.348677
686,0.651047,0.348953
687,0.654355,0.345645
688,0.346196,0.346196
689,0.134785,0.134785
690,0.412073,0.412073
691,0.411246,0.411246
692,0.412348,0.412348
693,0.412348,0.412348
694,0.412348,0.412348
695,0.412073,0.412073
696,0.412348,0.412348
697,0.412348,0.412348
698,0.412348,0.412348
699,0.343164,0.343164
700,0.681643,0.318357
701,0.683572,0.316428
702,0.264884,0.264884
703,0.337652,0.337652
704,0.343991,0.343991
705,0.681367,0.318633
706,0.606946,0.393054
707,0.700386,0.299614
708,0.671169,0.328831
709,0.70011,0.29989
710,0.699559,0.300441
711,0.076902,0.076902
712,0.758269,0.241731
713,0.662073,0.337927
714,0.708104,0.291896
715,0.812569,0.187431
716,0.103363,0.103363
717,0.082415,0.082415
718,0.082415,0.082415
719,0.77398,0.22602
720,0.105568,0.105568
721,0.750827,0.249173
722,0.082415,0.082415
723,0.105568,0.105568
724,0.082415,0.082415
725,0.750827,0.249173
726,0.105292,0.105292
727,0.083241,0.083241
728,0.666759,0.333241
729,0.083517,0.083517
730,0.66731,0.33269
731,0.656284,0.343716
732,0.082966,0.082966
733,0.082966,0.082966
734,0.082966,0.082966
735,0.657111,0.342889
736,0.618523,0.381477
737,0.618798,0.381202
738,0.795204,0.204796
739,0.148842,0.148842
740,0.65215,0.34785
741,0.303473,0.303473
742,0.696527,0.303473
743,0.696527,0.303473
744,0.303473,0.303473
745,0.305678,0.305678
746,0.310088,0.310088
747,0.310915,0.310915
748,0.529768,0.470232
749,0.472161,0.472161
750,0.530044,0.469956
751,0.529768,0.470232
752,0.339581,0.339581
753,0.530044,0.469956
754,0.530044,0.469956
755,0.530044,0.469956
756,0.529493,0.470507
757,0.528942,0.471058
758,0.627894,0.372106
759,0.745865,0.254135
760,0.126516,0.126516
761,0.380375,0.380375
762,0.12624,0.12624
763,0.052646,0.052646
764,0.052922,0.052922
765,0.328004,0.328004
766,0.350606,0.350606
767,0.326626,0.326626
768,0.746141,0.253859
769,0.253859,0.253859
770,0.430265,0.430265
771,0.283352,0.283352
772,0.075248,0.075248
773,0.291345,0.291345
774,0.216097,0.216097
775,0.428611,0.428611
776,0.358875,0.358875
777,0.3586,0.3586
778,0.362459,0.362459
779,0.362183,0.362183
780,0.353638,0.353638
781,0.613837,0.386163
782,0.535832,0.464168
783,0.556781,0.443219
784,0.556229,0.443771
785,0.523153,0.476847
786,0.476571,0.476571
787,0.081588,0.081588
788,0.081312,0.081312
789,0.100606,0.100606
790,0.100606,0.100606
791,0.100606,0.100606
792,0.184123,0.184123
793,0.081312,0.081312
794,0.184399,0.184399
795,0.184675,0.184675
796,0.184399,0.184399
797,0.102811,0.102811
798,0.081312,0.081312
799,0.401323,0.401323
800,0.101709,0.101709
801,0.186053,0.186053
802,0.371279,0.371279
803,0.37183,0.37183
804,0.175854,0.175854
805,0.175303,0.175303
806,0.225744,0.225744
807,0.22602,0.22602
808,0.175854,0.175854
809,0.175854,0.175854
810,0.308159,0.308159
811,0.096196,0.096196
812,0.096472,0.096472
813,0.096196,0.096196
814,0.144432,0.144432
815,0.144157,0.144157
816,0.096196,0.096196
817,0.14333,0.14333
818,0.332966,0.332966
819,0.35226,0.35226
820,0.351709,0.351709
821,0.616318,0.383682
822,0.493936,0.493936
823,0.1414,0.1414
824,0.159316,0.159316
825,0.247244,0.247244
826,0.266262,0.266262
827,0.200662,0.200662
828,0.265987,0.265987
829,0.688258,0.311742
830,0.688534,0.311466
831,0.420617,0.420617
832,0.587652,0.412348
833,0.270948,0.270948
834,0.506891,0.493109
835,0.110254,0.110254
836,0.25441,0.25441
837,0.254135,0.254135
838,0.184123,0.184123
839,0.136163,0.136163
840,0.509096,0.490904
841,0.591235,0.408765
842,0.334895,0.334895
843,0.100606,0.100606
844,0.100606,0.100606
845,0.098677,0.098677
846,0.343991,0.343991
847,0.371279,0.371279
848,0.371555,0.371555
849,0.265711,0.265711
850,0.363837,0.363837
851,0.098677,0.098677
852,0.098126,0.098126
853,0.100055,0.100055
854,0.100055,0.100055
855,0.099228,0.099228
856,0.099504,0.099504
857,0.100331,0.100331
858,0.100055,0.100055
859,0.100606,0.100606
860,0.600055,0.399945
861,0.571389,0.428611
862,0.669515,0.330485
863,0.670342,0.329658
864,0.099228,0.099228
865,0.522051,0.477949
866,0.100606,0.100606
867,0.578556,0.421444
868,0.246417,0.246417
869,0.246417,0.246417
870,0.422822,0.422822
871,0.423925,0.423925
872,0.576351,0.423649
873,0.099779,0.099779
874,0.492007,0.492007
875,0.492007,0.492007
876,0.50882,0.49118
877,0.491731,0.491731
878,0.480154,0.480154
879,0.364388,0.364388
880,0.371279,0.371279
881,0.370728,0.370728
882,0.243109,0.243109
883,0.242007,0.242007
884,0.613561,0.386439
885,0.242558,0.242558
886,0.758269,0.241731
887,0.612734,0.387266
888,0.407938,0.407938
889,0.052646,0.052646
890,0.05237,0.05237
891,0.05237,0.05237
892,0.052095,0.052095
893,0.114112,0.114112
894,0.193219,0.193219
895,0.806781,0.193219
896,0.193219,0.193219
897,0.193219,0.193219
898,0.801544,0.198456
899,0.213341,0.213341
900,0.191014,0.191014
901,0.300717,0.300717
902,0.474917,0.474917
903,0.756615,0.243385
904,0.757442,0.242558
905,0.757718,0.242282
906,0.757993,0.242007
907,0.757993,0.242007
908,0.757166,0.242834
909,0.757166,0.242834
910,0.758269,0.241731
911,0.729327,0.270673
912,0.686329,0.313671
913,0.554576,0.445424
914,0.554576,0.445424
915,0.131477,0.131477
916,0.5543,0.4457
917,0.686329,0.313671
918,0.686329,0.313671
919,0.717751,0.282249
920,0.70452,0.29548
921,0.665105,0.334895
922,0.665656,0.334344
923,0.664829,0.335171
924,0.66538,0.33462
925,0.664553,0.335447
926,0.665105,0.334895
927,0.666759,0.333241
928,0.666759,0.333241
929,0.63258,0.36742
930,0.648291,0.351709
931,0.661246,0.338754
932,0.660695,0.339305
933,0.057056,0.057056
934,0.057056,0.057056
935,0.132029,0.132029
936,0.130926,0.130926
937,0.802922,0.197078
938,0.066428,0.066428
939,0.063396,0.063396
940,0.063396,0.063396
941,0.063396,0.063396
942,0.063396,0.063396
943,0.063396,0.063396
944,0.067255,0.067255
945,0.067255,0.067255
946,0.067255,0.067255
947,0.067806,0.067806
948,0.314498,0.314498
949,0.829934,0.170066
950,0.170066,0.170066
951,0.829658,0.170342
952,0.171444,0.171444
953,0.828556,0.171444
954,0.828556,0.171444
955,0.171169,0.171169
956,0.835998,0.164002
957,0.835998,0.164002
958,0.826351,0.173649
959,0.826075,0.173925
960,0.170893,0.170893
961,0.170617,0.170617
962,0.169791,0.169791
963,0.169515,0.169515
964,0.831312,0.168688
965,0.173925,0.173925
966,0.825799,0.174201
967,0.087927,0.087927
968,0.289416,0.289416
969,0.289967,0.289967
970,0.709757,0.290243
971,0.710033,0.289967
972,0.289416,0.289416
973,0.710309,0.289691
974,0.272326,0.272326
975,0.272878,0.272878
976,0.727122,0.272878
977,0.727122,0.272878
978,0.727122,0.272878
979,0.727122,0.272878
980,0.273153,0.273153
981,0.616318,0.383682
982,0.36301,0.36301
983,0.36301,0.36301
984,0.36301,0.36301
985,0.63699,0.36301
986,0.363286,0.363286
987,0.36301,0.36301
988,0.36301,0.36301
989,0.36301,0.36301
990,0.362734,0.362734
991,0.636714,0.363286
992,0.363286,0.363286
993,0.363286,0.363286
994,0.636714,0.363286
995,0.363286,0.363286
996,0.635888,0.364112
997,0.364112,0.364112
998,0.374587,0.374587
999,0.374035,0.374035
1000,0.625965,0.374035
1001,0.374587,0.374587
1002,0.375689,0.375689
1003,0.774256,0.225744
1004,0.22602,0.22602
1005,0.225469,0.225469
1006,0.225469,0.225469
1007,0.225193,0.225193
1008,0.242007,0.242007
1009,0.649118,0.350882
1010,0.350055,0.350055
1011,0.351709,0.351709
1012,0.500827,0.499173
1013,0.5,0.5
1014,0.500827,0.499173
1015,0.500276,0.499724
1016,0.50441,0.49559
1017,0.665105,0.334895
1018,0.66538,0.33462
1019,0.335722,0.335722
1020,0.334895,0.334895
1021,0.33462,0.33462
1022,0.66538,0.33462
1023,0.664002,0.335998
1024,0.33462,0.33462
1025,0.665105,0.334895
1026,0.664553,0.335447
1027,0.66538,0.33462
1028,0.335171,0.335171
1029,0.664278,0.335722
1030,0.66538,0.33462
1031,0.335722,0.335722
1032,0.664002,0.335998
1033,0.34785,0.34785
1034,0.34785,0.34785
1035,0.620728,0.379272
1036,0.578831,0.421169
1037,0.578831,0.421169
1038,0.578556,0.421444
1039,0.578831,0.421169
1040,0.579107,0.420893
1041,0.579107,0.420893
1042,0.579107,0.420893
1043,0.579107,0.420893
1044,0.579107,0.420893
1045,0.579658,0.420342
1046,0.093716,0.093716
1047,0.503859,0.496141
1048,0.503583,0.496417
1049,0.503583,0.496417
1050,0.503308,0.496692
1051,0.503308,0.496692
1052,0.503859,0.496141
1053,0.503859,0.496141
1054,0.503583,0.496417
1055,0.354741,0.354741
1056,0.353914,0.353914
1057,0.35419,0.35419
1058,0.353914,0.353914
1059,0.353914,0.353914
1060,0.353638,0.353638
1061,0.353914,0.353914
1062,0.35419,0.35419
1063,0.353363,0.353363
1064,0.353914,0.353914
1065,0.353914,0.353914
1066,0.353363,0.353363
1067,0.355292,0.355292
1068,0.3586,0.3586
1069,0.359427,0.359427
1070,0.359151,0.359151
1071,0.371555,0.371555
1072,0.359702,0.359702
1073,0.359702,0.359702
1074,0.404631,0.404631
1075,0.406009,0.406009
1076,0.117971,0.117971
1077,0.117971,0.117971
1078,0.117971,0.117971
1079,0.144432,0.144432
1080,0.144157,0.144157
1081,0.146913,0.146913
1082,0.161246,0.161246
1083,0.407663,0.407663
1084,0.154355,0.154355
1085,0.154355,0.154355
1086,0.154079,0.154079
1087,0.154355,0.154355
1088,0.10419,0.10419
1089,0.10419,0.10419
1090,0.103638,0.103638
1091,0.103363,0.103363
1092,0.096472,0.096472
1093,0.109702,0.109702
1094,0.110254,0.110254
1095,0.397189,0.397189
1096,0.39774,0.39774
1097,0.601985,0.398015
1098,0.277563,0.277563
1099,0.170617,0.170617
1100,0.279217,0.279217
1101,0.27839,0.27839
1102,0.277563,0.277563
1103,0.170893,0.170893
1104,0.288313,0.288313
1105,0.119625,0.119625
1106,0.537486,0.462514
1107,0.418412,0.418412
1108,0.213341,0.213341
1109,0.213616,0.213616
1110,0.170617,0.170617
1111,0.213892,0.213892
1112,0.213616,0.213616
1113,0.170342,0.170342
1114,0.708379,0.291621
1115,0.291345,0.291345
1116,0.292448,0.292448
1117,0.170893,0.170893
1118,0.497244,0.497244
1119,0.754135,0.245865
1120,0.753859,0.246141
1121,0.250276,0.250276
1122,0.248897,0.248897
1123,0.248897,0.248897
1124,0.206174,0.206174
1125,0.740077,0.259923
1126,0.206174,0.206174
1127,0.206174,0.206174
1128,0.340408,0.340408
1129,0.339581,0.339581
1130,0.339305,0.339305
1131,0.339581,0.339581
1132,0.340132,0.340132
1133,0.339857,0.339857
1134,0.239802,0.239802
1135,0.305954,0.305954
1136,0.296031,0.296031
1137,0.329107,0.329107
1138,0.114939,0.114939
1139,0.095645,0.095645
1140,0.103914,0.103914
1141,0.228225,0.228225
1142,0.432745,0.432745
1143,0.136163,0.136163
1144,0.304024,0.304024
1145,0.135888,0.135888
1146,0.440463,0.440463
1147,0.441014,0.441014
1148,0.441566,0.441566
1149,0.466924,0.466924
1150,0.466097,0.466097
1151,0.534179,0.465821
1152,0.330209,0.330209
